texto,prediccion,confianza
"Hay otras omisiones más flagrantes. La más grave, quizás, es la falta de reconocimiento de que la existencia misma de la UE fue posible gracias a las campañas militares tanto del Ejército Rojo como de otros grupos afiliados al comunismo. Los nazis no fueron derrotados por una lista de demócratas benévolos y de mentalidad liberal, como lo han presentado algunas películas nostálgicas, como la reciente Dunkerque de Christopher Nolan. La victoria, como la mayoría de los europeos aprenden en la escuela, fue gracias al Acuerdo de Yalta, que vio una alianza renuente no entre los soviéticos y los nazis, sino entre los soviéticos, los británicos y los estadounidenses. Los yanquis y los tommies desempeñaron su papel, sí, pero también lo hicieron los millones de soldados rusos que murieron en el frente oriental, sin mencionar los movimientos partisanos italianos, franceses y otros, la mayoría de los cuales estaban motivados por alguna visión del comunismo.",Sarcástico,0.56
Lo q tu ves. Yo veo que jugar la copa del Rey y la Liga española. España 5...España 0,Sarcástico,0.63
"Es peligrosísimo tener a un enano mental dirigiendo una potencia mundial. ¿Es que no hay gente normal en EEUU? Este tío estaba pagándole a la actriz porno 130.000 $ para cerrarle la boca y la orden siguiente fué ""atacar a Siria"" Estamos listos con esta tropa. Que Dios nos coja confesados.",Normal,0.63
"¡Falabarato! Preciosa expresión, de una sonoridad más que acogedora. A ver si encuentro un sinónimo en panocho... 👍",Sarcástico,0.56
@Markad #511 ¿Es racismo repetir bulos como estos una y otra vez? A ver si nos enteramos que ni los unos son tan buenos ni los otros son tan malos y viceversa! Que todos somos las dos caras de la misma moneda! Y que los odios cruzados es lo que está aniquilando nuestra sociedad!,Sarcástico,0.97
@Orry #7 Hay que saber perder... Se pasa antes la pena.,Normal,0.63
Peyró se te han olvidado los muertos del 11M,Normal,0.56
Dejando a un lado las ideologías es que estamos gobernados por políticos cada día más inútiles. Es que no saben ni trincar. Esta señora ha utilizado el viejo truco de trocear contratos.,Sarcástico,0.68
"#63DE RARO NADA.. Según lo que ha dicho Errejón, saben que la izquierda y Podemos no van conquistar el poder por la mejora de la economía lo que vienen a decir que cuando peor nos vaya a los españoles mejor para ellos. Por lo que tienen que calentar la calle, internet y las redes sociales para asaltar el poder ya sea por lo de la manada o por lo del master de Cifuentes, tal y como hicieron con el 11M con el ""¿quién a sido?"".",Sarcástico,0.95
"@Jarras Y tú deberías ir al proctólogo a que mire tus problemas con los condilomas perianales. A pastar, nene",Sarcástico,0.77
que se pongan a trabajar como el resto? o que se pongan a mangar?como el resto,Normal,0.56
@santoypaciente 295. Gracias,Sarcástico,0.67
"Se agradecería algo de periodismo serio y de investigación, porque no es casualidad que en los últimos decenios nos regalen estas epidemias sin precedentes de virus ""extraños"". Por ejemplo, habría que saber qué piensan del desarrollo de la genética artificial que ha permitido ""resucitar"" virus como el de la mal llamada gripe ""española"", y los experimentos que han añadido inserciones de proteínas VIH y m.tuberculosis en dicho virus, con consecuencias impredecibles. Para los escépticos, si leen inglés, vean esta publicación sobre los virus sintéticos: http://cort.as/-VCi3",Normal,0.64
Artículos para fomentar la ignorancia jajaja.,Normal,0.56
Y todo por una p....,Normal,0.60
Aguado traidor vete a tu casa.,Normal,0.56
"Que vergüenza de gobierno tenemos en España. Es lamentable, P Sanchez vive en otra galaxia...",Normal,0.60
@Edgar16 #3 está señora solo pasaba por allí. Todo el mérito es de Ayuso y de Fracasado. Típico de peperos.,Sarcástico,0.84
"Si este hombre delató a criminales que roban y evaden a Suiza, no debe ser encarcelado, sino ponerle una medalla.",Sarcástico,0.82
"El Gutiérrez sabe mucho de cuentas de cuando estuvo en la diputación, compraba al por mayor",Normal,0.86
"MENTIRA. En el ""Panhandle"" de la Florida nieva de vez en cuando. Yo he visto la nieve en Pensacola. Además, Trump cambió su residencia de New York a la Florida por encontrar en Palm Beach  mejor acogida  que la del alcalde comunista y los sectarios de la ciudad de New York, que  gastan un dineral para pintar un letrero enorme de ""black lives matter "" en el pavimento de la calle frente a la torre Trump, que ya varias veces han tenido que repintar porque los ciudadanos lo embarran continuamente con pintura. Anoche le volvieron a dejar de lo más guapo el letrero al sectario alcalde.https://www.thesun.co.uk/news/13021618/black-lives-matter-mural-trump-tower-defaced-with-tar/",Sarcástico,0.77
"Felipe, habla con el indecente de M.rajoy. Si no te suena, examina los papales de bárcenas y veras como aparece allí, está reflejado en dichos papeles cobrando en B sobre sueldos, sí, el de Moncloa y le dices, que convoque un referéndum para que el pueblo de España, decida, si Monarquía o República. Que conste, que prefiero Monarquía, pero la reformaría de ¡cabo a rabo!",Sarcástico,0.60
vicepresidenta de igualdad y protección de menotes. esta basura es lo que tenemos en Valencia. estamos disfrutando de lo votado.. por otros,Normal,0.84
"Muy simple. Si en efecto los objetivos del bombardeo hubieran sido centros de producción y depósitos de armas químicas... ¡hubieran muerto miles de personas! Pues las sustancias, sobre todo gases, se hubieran esparcido tras el bombardeo. Los misiles no tienen la capacidad de absorber los gases cuando estallan -es absurdo pensarlo-. Con ese hecho se prueba claramente que el ataque, sus objetivos y sus resultados, fueron una total y absoluta mentira.",Sarcástico,0.96
#48Porque estaba representando a un equipo de la Premier. Si va al campo como un aficionado más con el lacito dichoso no pasaría nada.,Sarcástico,0.60
...es que no hace falta. Para lo que representa el PP en el rubro honestidad y legalidad.....puede quedarse perfectamente.,Sarcástico,0.60
"#147te equivocas, Freistaats son solamente Freistaat Bayern (1945), Freistaat Sachsen (1990) y Freistaat Thüringen (1993), nada mas...",Sarcástico,0.82
"Pero que gente mas plasta, aburren ya de tanta tonta",Normal,0.60
"@yespudin #30 Tengo una botellita en casa y la tengo en la mano. Dice: Composición para 100 gramos: Etanol.. 48,5 grs; Propan-2-ol.. 26 grs; Clorhidrato de Biguanida Polimérica.. 0,04 grs. Agua y excipientes c.s.p. 100 grs. Y asegura cumplir con las normas europeas UNE-prEN 12054, UNE-EN 1500, 12791, 1650, 14476 y 14348. Asegura ser ""antiséptico para el personal de todos los ámbitos, incluidos sanitario e industria alimentaria"". De hecho, a mí me lo recomendó un consejero-delegado de una de las mayores aseguradoras sanitarias de España. Y, como digo, nos ha ido muy bien, y no tiene un precio desorbitado. Gracias por sus respuestas.",Normal,0.59
Reino Unido Francia Italia España EeUu tienen armas atómicas q serían inmediatamente dirigidas a Rusia en caso de ataque,Normal,0.60
"Para ota cosa no, pero para criticar, sembrar la duda, despresrigiar cualquier avance, para eso SI, tenemos el record guiness. Que mania!!!! si por nosotros fuera aun estariamos subidos en los arboles.",Sarcástico,0.94
"@Trainspotting #66 Me considero pro-vacunas pero en esto discrepo absolutamente con usted. Son mis hijos, no ""nuestros niños"". La vacunación contra el sars-covid-2 es para ""suavizar"" la infección en personas de edad donde en un posible contagio puede llevar a complicaciones graves. La vacunación en preadolescentes y adolescentes de entre 12 a 15 años carece de urgencia sanitaria. Es más, son edades de máximo desarrollo hormonal. ¿Puede ser más claro? por favor.",Sarcástico,0.93
#111ya ya...super liberales....pero de amarillo no. Meseta en estado puro.,Sarcástico,0.63
¡ Qué pedazo de deportista !,Normal,0.60
"Un país moderno no puede tener un rey o dos con su entorno corrupto y que es típico del medievo y además tres millones y medio de parados .... donde está la modernidad de este país saqueado , quien la ve ?",Normal,0.63
"Esto se prefijo hace tiempo. Que en cuanto llegara el PSOE al poder estos delincuentes iban a estar en la calle y les iba dar todo lo k no da al resto de España. Y sabeis a quien NO votar para las proximas elecciones. Gallegos y extremeños hasta los wevos del PSOE, por k reaparte a su gusto y no a los españoles.",Normal,0.99
"Lo de Podemos es todo folletín de dictachuelos como el Koletas y traidores como el Errejon aliñada con corruptelas de Espinar. Podemos, tic tac ....... tic tac",Normal,0.63
Pipí,Normal,0.56
#120jajajaja MENTIROSO COSLADA CALLE MÉJICO http://coslada.callejero.net/calle-de-mejico.html EN CORDOBA Y LAS DEMÁS QUE HAS PUESTO MENTIROSO,Normal,0.56
Bueno en la Galicia pepera ocurre lo mismo,Normal,0.71
"No lo pueden extraditar . Ya una vez ganó en los tribunales su derecho a no ser extraditado, y ahora, aunque Suiza quiera, ocurrirá lo mismo . Se va a quedar, afortunadamente. Confío sin duda alguna en nuestros jueces, y no hay desde el punto de vista legal motivos para echarlo. Ha COLABORADO con el estado español ayudando a sacar a la luz solamente en España 300 millones de euros que recaudó hacienda. El delito que se le acusa en Suiza, no sería delito aquí. Si aquí un banquero entrega una lista de personas con dinero oculto al estado, no sería delito. Y de hecho, Suiza modificó después del caso falquiani sus leyes, y ahora cuando un extranjero abre una cuenta en Suiza se informa a la hacienda de su país de origen. Por tanto lo que hizo falquiani ya no sería ni delito. Otra cosa es que los poderosos le tengan ganas a falquiani y aún en Suiza le persigan, pero confío en nuestros jueces, no entregarán a una persona con ética y que hizo lo correcto, dar los defraudadores a conocer.",Sarcástico,1.00
"Y aquel quien calla ante el Honor, delinque, Sumar, Direcciones Generales, Subdirecciones Generales, Secretarías Generales Técnicas, Sub Secretarias Generales Técnicas, Ministros, Presidentes, Secretarios y vice Secretarios, porque el Dinero es la Manecilla que da cuerda al pájaro que mueve el Mundo.",Sarcástico,0.88
"#91Podemos y PSOE están sin votos para las siguientes elecciones, no se haga ilusiones. Aunque pongan al mismísimo Hugo Chavez no van a sacar ni para pipas.",Normal,0.95
Le digo más. ¿Y a mi que c..ñ.. me importa lo que critique usted a ese señor? Ni le he votado ni me gobierna. En cambio me preocupa bastante más el comportamiento de los que si gobiernan(por decir algo) ya que sufriré las consecuencias.,Sarcástico,0.56
@KurtGodel #467 NO EXISTE NINGUNA INVASIÓN MIGRATORIA.,Sarcástico,0.67
@ATM_1965 #252 Tú pm,Sarcástico,0.67
"@RM777 #325 No, cada uno que se sienta lo que le de la gana. Total todos tenemos DNIs, lo tiene ya hasta ""Vinisius"". XD",Normal,0.84
JAJAAJAJAAJAJAJAJAJAJAJAJAJAAJAJAJAAAJAJAJ   Me parto¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡   Y te crees lo que escribes?????,Sarcástico,0.67
"otros la llamarían ""nazi""",Normal,0.56
¿Las elecciones no las había ganado el candidato Casadete del Partido Populista?,Normal,0.82
"#54Símbolos declarados ilegales por motivos obvios, aquí en España tenemos una asociación ensalzando la figura equivalente a Hitler totalmente legal y hasta hace poco subvencionada con dinero público. Que yo sepa una camiseta amarilla no es ilegal, al menos de momento.",Normal,0.90
"#623Y la irresponsabilidad del psoe, dando llave de gobierno a los nacionalistas, menos. En vez de negociar mejoras sociales a escala nacional, deja que se pierda dinero en esos chantajistas locales.",Sarcástico,0.82
"Ya en el titular hay dos mentiras. La 3ª quizás sea cierta y no dimita, pero la pueden ""dimitir"" otros.",Normal,0.56
"#61Ay como aburres, con una orden de alejamiento y que a menos de 1km le de una descarga al agresor. yo no voy a agredir a nadie, ni reflexionar sobre algo que tiene tanta lógica y ayudaría a que no hubiese mas asesinatos. normal que te llames ""yoquese"", hay que dárltelo todo masticadito... si la descarga lo mata ya harán un articulo en este periódico, donde podrás comentar y dar tu opinion.",Sarcástico,0.74
#191universidad pública...,Normal,0.90
Éste tío se piensa que somos todos socialistas.,Normal,0.56
"Lo que pasa es que sobran los que no quieren estar en España, puerta, y a quien le pique que se rasque",Normal,0.60
Papa Estado siempre gana,Sarcástico,0.67
"Como siempre los fachis dando la nota, el mandapelotas es el tipico fascista de libro, un perdedor amargado, su inteligencia es comparable a la de una ameba, te dire que los de bilbao somo seuropeos, te gusta mas eso?, anda fachin",Normal,0.88
"Este tipo, que siempre va dando lecciones al mundo con su apariencia de buenecito, es uno de los mayores inversores en empresas de inteligencia artificial y de  otros muchos negocios 'grises'.",Normal,0.96
"Falciani ha colaborado con el estado español en descubrir corrupción y blanqueamiento de capitales ... y ahí es donde le duele a Suiza , pais hucha de los capitales de origen incierto e ilegales ... incluido las cuentas B de PP . Legalidad 1 - Suiza y corrupción 0",Sarcástico,0.60
De dónde han sacado la pasta para pagar 600 buses?Torra lo sabe.,Normal,0.56
"@11122 #7 Lo que está claro es que tú ni eres, ni vives en Galicia. De lo contrario jamás dirías que el castellano está a punto de desaparecer aquí. Dejad de molestar anda...",Sarcástico,0.97
Jajajaja fortuito dice el caradura,Normal,0.56
"@Abueloladilla #11 Lee la entrevista al presidente del colegio de médicos de hoy en este diario. Dice que el tema de Madrid es un tema político entre PP y PSOE. A partir de ahí, lo demás no vale",Sarcástico,0.65
"Si los suizos quieren negociar, les propongo un 3x1: Rovira, Gabriel y el dineral robado por los Pujol por el Falciani. ¿Hay trato?",Sarcástico,0.63
"Voxonianos y Peperos: teneis una empanada mental que no hay cristo que os entienda. La Constitución se fundamenta en la indisoluble unidad de la Nación española, patria común e indivisible de todos los españoles, y reconoce y garantiza el derecho a la autonomía de las nacionalidades y regiones que la integran. El independentismo solicita un referendum sobre la independencia, contrario a la constitución. Vosotros solicitais la supresión de las autonomías que parte de la declaración del artículo 2, el mismo que recoge la indisoluble unidad de la Nación, por lo tanto, contrario al ordenamiento jurídico. Las dos propuestas necesitan la modificación de la consititución. Según el Tribunal Constitucional (SSTC 48/2003, FJ 7 y 103/2008, FJ 2), la Constitución Española puede ser modificada sin ningún límite, esto es, sin que existan clausulas de intangibilidad explícitas o implícitas, siempre y cuando se respete el procedimiento legal establecido.",Sarcástico,0.91
#513No. El bbva tiene su sede en Madrid. Apuesto que tampoco sabes por qué...,Normal,0.60
"Señalar sólo una puntualización a la que no se ha referido Manuel Jabois en su artículo: además del ""chiste"" que ha provocado la destitución de esta señora comisaria de la Policía Nacional (y que no ha supuesto ninguna consecuencia para todos aquellos que, satisfechos, le rieron la gracia), en el mismo banquete de homenaje a un compañero (pagado con nuestros impuestos, que nadie se olvide) la susodicha también se refirió a su destino anterior en la Comisaría de Pozuelo de Alarcón mostrando su satisfacción al referirse a esta ciudad madrileña como ""Plaza Nacional"" y no ""Republicana"".",Sarcástico,0.99
"FALCIANI LIBERTAD, YA!!!",Normal,0.60
JAJAAJAJAJAJAJAAJJAJAJAAJAJAJ  Y en 2018??????????????????  JAJAJAJAJAJAJAJAJAJAAJAJJAAJAJAJAJ,Normal,0.56
La llamaban eso por la cantidad de asesinados por los rojos que tuvo.,Normal,0.56
Dios los cría y ellos se juntan.,Normal,0.56
"#14Las ""feministas"" (como usted dice) no hacemos estadísticas por nacionalidad. Son algunos de ustedes los que sí las hacen, y a mí me parece un ejercicio muy sospechoso...",Normal,0.63
Aqui no hay dimisión inmediata ¡¡¡¡¡¡¡¡. Aqui no hay culpables ¡¡¡¡¡¡ Aqui hay la ley del silencio¡¡¡¡¡¡. Pero no les servirá de nada a estos de extrema izquierda. CARADURAS,Normal,0.60
"Diario Expansion 9/07/2019.-"" Gracias al crecimiento económico, el pueblo español en 1975 tenía niveles de vida y fe en el futuro como nunca tuvo en tiempos de la República. Por eso resultó relativamente fácil la Transición. También a veces los economistas aciertan, y merecen un reconocimiento.""",Sarcástico,0.68
"Otra buena película de este año: ""El sastre de la mafia"".",Normal,0.90
"Es que como ya demostró hace mucho Tamara-Ámbar-Yurena, una cosa es vender discos y otra que no se rían de ti.",Sarcástico,0.63
"#146patriota es Bibiana Aído, con menos currículum que Tarzan, y ahí la tienes, enchufada por ZP en la ONU ganando 10.000 dólares al mes, payaso.",Sarcástico,0.60
"el cambio prometido, Falciani por Marta, ya no existe,",Sarcástico,0.84
@gh10443 #713 Sólo tiro ketchup,Sarcástico,0.86
Comunista Dior y Cartier. Pero pagando los contribuyentes.,Normal,0.56
"#106Yo pensé exactamente lo mismo.Ni una opinión ni remotamente discrepante.Adoctrinamiento puro.Y así en casi todos los medios de comunicación y en la enseñanza,al menos en la pública.Una labor de ingeniería social propia de un régimen totalitario.Las nuevas generaciones repitiendo como robots los tópicos y falsedades del feminismo actual.Por eso me siento bastante pesimista sobre el futuro que nos espera.Qué tristeza!",Normal,0.84
"#78Lamento muchísimo su situación. Soy mujer y me avergüenzan casos como el suyo. Comprendo que haya pensado en suicidarse, si me pasase a mí, también lo habría pensado. Cuando te despojan de todo, de todo lo material, de lo que más quieres, de tu dignidad y, además, sólo te queda el silencio administrativo, verdaderamente te lo roban todo. Ojalá ningún hombre se suicide por este asco de ley anticonstitucional. Y ojalá hubiera más dinero para poder asociarse, hacer más ruido, hacerse oír. Yo os apoyo a todos y podéis contar conmigo para defender lo justo.",Sarcástico,1.00
#172Ah! Es coña.,Normal,0.60
"Ah, ¿El milagro de IFEMA se debe a la sra Ayuso? No me diga...",Normal,0.60
"#297Solución, vete. Adiós.",Normal,0.56
"Escándaloooo, es un escándalooo... Aunque lamentablement ya estamos acostumbrados.",Normal,0.60
"Es lógico que Podemos haya votado en contra de la propuesta del Gobierno del que forma parte. La lealtad de Podemos está con Rusia no con el Gobierno de España. En este está para cobrar el sueldo, tener coche , chófer, gusrdaespaldas, vigilantes de su casa, piso de 450 m2, etc, pero no para ser leal.",Normal,0.67
"Cuanta ignorancia, Dios mío...",Normal,0.60
"Parece más, que ""lo han matao""",Normal,0.56
"Sobre este tema, nadie sabe nada, son adivinainvenciones semejantes a la de Darwin, a la de los OVNIS, del Yeti del Himalaya..",Normal,0.67
"Y el golfo millonario de Ferreras con sus amigos de mongolia, para donde esta mirando en este apagón informativo de podemos. Este hombre es un indeseable, que con su cadena Secta, a la que teníamos que boicotear todo le mundo, y que solo lo vean los vagos podemitas, que no han dado un golpe al agua. Me enrojece ser Leones y Berciano, de tener a este elemento diciendo que el también lo es. Una autentica vergüenza para cualquier leones de bien. El Ferreas esta esperando que pase el fin de semana, y que escampe para podemos, un autentico sin vergüenza",Sarcástico,0.71
Algunos votantes de derechas no necesitan que se resucite a Franco. Lo siguen teniendo presente.,Normal,0.60
"Sánchez avisa que aumentará ya en el 2023 eñ presupuesto para defensa. Estoy segurísimo que esa cantidad será mínima para el 2023 y le dejará el muerto al que venga detrás, probablemente el PP. Ya se ha publicado que eses gasto llegará hasta el 2028 o 2030.",Normal,0.92
"Un troll ruso no puede manipular la imagen de un principe Saudí en un besamanos por las repúblicas y monarquías europeas, ni la alianza se EEUU y la Unión Europea con regímenes donde la mujer es menos que un mueble para sus leyes, y sin embargo los gobiernos occidentales se funden con ellos en abrazos que van más allá del decoro. No es tanto un problema de información como de valoración de la misma. No echen por tanto la culpa a troles rusos. Intoxica Occidente.",Sarcástico,0.88
"Aguado= Rojo, social comunista. 😆🤣🤣",Normal,0.56
El virus es el gobierno.,Normal,0.56
"@umbral2 #1 Pues mira la bandera española, fue puesta por primera vez en 1843 como enseña de España y la ikurriña se creó en 1894, así que tampoco hay mucha diferencia. Y el término España, como ya sabrás proviene de los romanos y fenicios y se traduce como "" tierra de conejos "" un apelativo muy acorde , desde luego.",Sarcástico,0.56
Si. Rodea el Congreso (25.09.2012)... ¿te acuerdas?,Sarcástico,0.63
"El tipo cualificado agravado del delito de odio establece que cuando los hechos, a la vista de sus circunstancias, resulten idóneos para alterar la paz pública o crear un grave sentimiento de inseguridad o temor entre los integrantes del grupo, se impondrá la pena en su mitad superior, que podrá elevarse hasta la superior en grado. En cuanto a las disposiciones comunes en el apartado 5 dice que en todos los casos, se impondrá además la pena de inhabilitación especial para profesión u oficio educativos, en el ámbito docente, deportivo y de tiempo libre, por un tiempo superior entre tres y diez años al de la duración de la pena de privación de libertad impuesta en su caso en la sentencia, atendiendo proporcionalmente a la gravedad del delito, el número de los cometidos y a las circunstancias que concurran en el delincuente. Se debe valora también el delito de lesiones sufrido por uno de los agentes .",Normal,0.96
"@Sagasta #39 jajaja, muy buena la ironía",Normal,0.71
Supresión de la Audiencia Nacional ¡¡¡Yaaaaaaa!.....Es un nido de corruPPción.,Normal,0.63
Por la boca muere el pez..,Normal,0.56
"¿Y que misterio tiene ir a 220?, en la Autobahn Alemana circular a 220 es de pobres, ya que hay vehículos que te dan ráfagas y te adelantan a 280 y a estos a su vez les adelantan otros a 340 y así sucesivamente ¿y? que tiene de misterioso circular a esas velocidades, pues nada, solamente se necesita un vehículo que lo permita y una carretera en condiciones. En españa hay ciertas autopistas que sería posible circular de igual forma, pero la DGT se lucra de estos excesos porque le es muy rentable. Por otro lado al que le han cazado, es un vacilón ya que hoy en día cualquier coche con 125 CV alcanza los 220 Km/h, pero no son tan tontos de subirlo a la red.",Sarcástico,1.00
Muy bien capitán a posteriori ahora tómese la pastillita y a dormir que mañana le toca ver a su líder fra_casado,Normal,0.70
"fuentes, el cuñao por wasap ;-)",Normal,0.56
"#76Catalanes y madrileños los que más, tampoco te hagas pajas mentales...",Normal,0.60
Debe ser por eso por lo que acabó abrasado.,Sarcástico,0.67
me he expresado mal. no entendí bien la noticia. quiero decir que si voy enfermo al medico y no me atienden es castellano me piro. bravo por esta doctora,Sarcástico,0.89
"""Santos Cerdán, ha contestado a las críticas de Felipe González y Alfonso Guerra de ayer tachando a ambos de ""desleales"".."" González y Guerra serán desleales con el PSOE, pero vosotros sois desleales con España.",Normal,0.84
El presidente chino llama al indio...pero la secuencia de 9 proteínas iguales que el virus está ahí de todos modos,Sarcástico,0.60
@benze_lewissss #197 igual debes tú más que el.,Normal,0.56
"Suerte, Mykelon, mucha suerte. Si acaso, por algún casual, algo saliera mal, pongamos, imaginemos, que algo pudiera salir mal en su apuesta, recuerde que la ilusión y la esperanza es mejor no depositarla en partidos políticos, así, en general, pero en partidos que señalan como enemigos a sectores de la población civil, en especial. Ya sean los extranjeros pobres, las femi nazis o las bestias con forma humana.",Sarcástico,0.97
"#124- Vamos, quiere vd que se meta en la carcel a unos tios por un empujoncillo y una bomba fetida, y luego que soltemos a unos cafres capaces de patearle la cara a una persona indefensa en el suelo. Y luego nos habla de proporcionalidad? Eso es coherencia. Ahi tienen vds la capacidad intelectual del rojerio.",Sarcástico,0.63
@estelita04 #167 para muestra un botón,Normal,0.56
"Para ser Catalán sólo tienes que sentirla, no hace falta nacer allí ni vivir allá, es como el Barça, o te gusta o no te gusta y punto pelota, un abrazo a todos desde Castro Urdiales.",Sarcástico,0.99
Y España seguirá recibiendo tiritas de África.,Normal,0.82
El peluquín de Ximo le impide que fluyan ideas de su pobre intelecto.,Sarcástico,0.67
"@habbania #31 en el franquismo había mucha corrupción al nivel de afectar a los cercanos a Paquito, decir que el PSOE trajo la corrupción es como decir que el capitalismo trajo el mercado.",Normal,0.84
"Y no sólo alimentoss. Si algún nedicamento tiene un componente animal tiene que ser consecuente. Sea lo que sea, por favor, que no nos aburra con sus ""desgracias"", que de eso a todos nos sobra.",Sarcástico,0.97
"Mientras tanto un centenar de paletos descerebrados, haciendo el indio en la Plaza de España, dando vueltas como si de una hoguera se tratara.",Sarcástico,0.63
@Elpasillito #427 y tú de dónde saliste ???,Sarcástico,0.67
"#86vaya, no somos África del Norte, ¿¿¿pero tiene usted algún problema si lo fuéramos??? algún sentimiento supremacista tipo nazi??? ah, ya, me lo suponía.",Sarcástico,0.88
"#95te parece mal y te comprendo,pero intentais hacer rey a un prófugo como puigdemont,con una democracia que designa a jueces a dedo y donde el ""presi"" es intocable ante sus justicia,te lo digo por el vistazo a la ley de la república catalana",Sarcástico,0.63
Y una m. Q no se apueben los peesupuestos. Repetimos y punto.,Sarcástico,0.67
"El Problema de los de siempre es que Obama no digo de UE porque nunca se confió en ellos,apuñalando por la espalda a Riad y Jerusalem con el pacto Nuclear con Irán realizó el Gran milagro que por aquello de que el enemigo de mi enemigo es mi amigo hicieron olvidar algunas diferencias entre el mundo árabe sunnita e Israel y ahora con el apoyo incondicional de Trump ,el panorama cambio mucho hoy hay una potencia nueva en Oriente Medio ,económica tecnológica energética y nuclear que hay que respetar mucho , y hace que se pongan las pilas unos cuantos que se creyeron invencibles .",Sarcástico,0.99
"Pedro I, el traidor, el mentiroso, el sepulturero, el embustero, el falso, el desleal, el desvergonzado, el sectario... ¡España, espabila!",Normal,0.67
"Eso que usted denomina ""comunismo stalinista"" liberó a Europa de la bestia nazi, no lo olvide. Y no olvide que la ""gran democracia americana"" no tuvo reparo alguno en consolidar el tiránico régimen de Francisco Franco en España.",Sarcástico,0.74
"Más t0nt0s y nacen botijo. O la noticia es conia o es síndrome de Estocolmo. Hasta he comprobado que no tengo cerca una cámara, por si se pretendía grabar ocultamente mi reacción.",Sarcástico,0.82
Ha pecado...,Normal,0.60
Incultura...,Normal,0.60
#27Lo han puesto despues de que la honorable sociedad protestara por la falta de informacion completa sobre el caso,Sarcástico,0.63
Te esperan amiguitos sediciosos en Lledoners cuidado con el jabón.,Sarcástico,0.67
"#69Déjalo, no te esfuerces, no te van a entender, yo ya estoy cansado de intentarlo... Hay mucha gente así, al final son iguales que los independentistas, de hecho creo que si fueran catalanes seguramente lo serían... A los de UK que votaron a favor del Brexit los imagino parecidos...",Sarcástico,0.53
"#302normal ! Chístale tú a un policía alemán , inglés o americano ... pero de qué país eres tú ?",Normal,0.63
"Pues ese ""experto"" no tiene ni idea del diseño de toma de muestra. La que se va a hacer es enorme.",Sarcástico,0.67
morito pijo.....,Normal,0.60
"#57Eso es una vergüenza, y a la profesora habría que expedientarla y meterle un buen paquete, pero como esto es España, en vez de hacer eso, hacemos lo mismo que ellos: se les prohíbe a unos entrar a un estadio con una camiseta amarilla.... ¿No hay nadie con medio cerebro en este país??????",Sarcástico,0.97
#83Así es. Saludos.,Normal,0.56
Me dan mas miedo los nazis bolivarianos psicópatas en el Gobierno de España que el pelomocho.,Normal,0.56
Son igualmente responsables de las muertes provocadas por el empeño del gobierno en celebrar el 8M de 2020 todos aquellos que les dan sus votos tanto a PSOE como a Podemos. A todos ellos les importa la vida de la gente muy poquito.,Normal,0.86
"La única izquierda del mundo que aboga por la desigualdad, que favorece a las comunidades ricas/xenofobas/indepes",Normal,0.60
