id,comentario,toxicidad,constructividad
178,"Si este hombre delató a criminales que roban y evaden a Suiza, no debe ser encarcelado, sino ponerle una medalla.",1. No tóxico,sí
192,"El Gutiérrez sabe mucho de cuentas de cuando estuvo en la diputación, compraba al por mayor",2. Ligeramente tóxico,no
2107,"MENTIRA. En el ""Panhandle"" de la Florida nieva de vez en cuando. Yo he visto la nieve en Pensacola. Además, Trump cambió su residencia de New York a la Florida por encontrar en Palm Beach  mejor acogida  que la del alcalde comunista y los sectarios de la ciudad de New York, que  gastan un dineral para pintar un letrero enorme de ""black lives matter "" en el pavimento de la calle frente a la torre Trump, que ya varias veces han tenido que repintar porque los ciudadanos lo embarran continuamente con pintura. Anoche le volvieron a dejar de lo más guapo el letrero al sectario alcalde.https://www.thesun.co.uk/news/13021618/black-lives-matter-mural-trump-tower-defaced-with-tar/",3. Tóxico,sí
1157,"Felipe, habla con el indecente de M.rajoy. Si no te suena, examina los papales de bárcenas y veras como aparece allí, está reflejado en dichos papeles cobrando en B sobre sueldos, sí, el de Moncloa y le dices, que convoque un referéndum para que el pueblo de España, decida, si Monarquía o República. Que conste, que prefiero Monarquía, pero la reformaría de ¡cabo a rabo!",2. Ligeramente tóxico,sí
2602,vicepresidenta de igualdad y protección de menotes. esta basura es lo que tenemos en Valencia. estamos disfrutando de lo votado.. por otros,3. Tóxico,no
1381,"Muy simple. Si en efecto los objetivos del bombardeo hubieran sido centros de producción y depósitos de armas químicas... ¡hubieran muerto miles de personas! Pues las sustancias, sobre todo gases, se hubieran esparcido tras el bombardeo. Los misiles no tienen la capacidad de absorber los gases cuando estallan -es absurdo pensarlo-. Con ese hecho se prueba claramente que el ataque, sus objetivos y sus resultados, fueron una total y absoluta mentira.",2. Ligeramente tóxico,sí
457,#48Porque estaba representando a un equipo de la Premier. Si va al campo como un aficionado más con el lacito dichoso no pasaría nada.,1. No tóxico,no
1106,...es que no hace falta. Para lo que representa el PP en el rubro honestidad y legalidad.....puede quedarse perfectamente.,1. No tóxico,no
1090,"#147te equivocas, Freistaats son solamente Freistaat Bayern (1945), Freistaat Sachsen (1990) y Freistaat Thüringen (1993), nada mas...",1. No tóxico,no
2240,"Pero que gente mas plasta, aburren ya de tanta tonta",3. Tóxico,no
331,"@yespudin #30 Tengo una botellita en casa y la tengo en la mano. Dice: Composición para 100 gramos: Etanol.. 48,5 grs; Propan-2-ol.. 26 grs; Clorhidrato de Biguanida Polimérica.. 0,04 grs. Agua y excipientes c.s.p. 100 grs. Y asegura cumplir con las normas europeas UNE-prEN 12054, UNE-EN 1500, 12791, 1650, 14476 y 14348. Asegura ser ""antiséptico para el personal de todos los ámbitos, incluidos sanitario e industria alimentaria"". De hecho, a mí me lo recomendó un consejero-delegado de una de las mayores aseguradoras sanitarias de España. Y, como digo, nos ha ido muy bien, y no tiene un precio desorbitado. Gracias por sus respuestas.",1. No tóxico,sí
1187,Reino Unido Francia Italia España EeUu tienen armas atómicas q serían inmediatamente dirigidas a Rusia en caso de ataque,1. No tóxico,sí
1239,"Para ota cosa no, pero para criticar, sembrar la duda, despresrigiar cualquier avance, para eso SI, tenemos el record guiness. Que mania!!!! si por nosotros fuera aun estariamos subidos en los arboles.",2. Ligeramente tóxico,no
679,"@Trainspotting #66 Me considero pro-vacunas pero en esto discrepo absolutamente con usted. Son mis hijos, no ""nuestros niños"". La vacunación contra el sars-covid-2 es para ""suavizar"" la infección en personas de edad donde en un posible contagio puede llevar a complicaciones graves. La vacunación en preadolescentes y adolescentes de entre 12 a 15 años carece de urgencia sanitaria. Es más, son edades de máximo desarrollo hormonal. ¿Puede ser más claro? por favor.",1. No tóxico,sí
51,#111ya ya...super liberales....pero de amarillo no. Meseta en estado puro.,2. Ligeramente tóxico,no
1938,¡ Qué pedazo de deportista !,1. No tóxico,no
842,"Un país moderno no puede tener un rey o dos con su entorno corrupto y que es típico del medievo y además tres millones y medio de parados .... donde está la modernidad de este país saqueado , quien la ve ?",2. Ligeramente tóxico,no
44,"Esto se prefijo hace tiempo. Que en cuanto llegara el PSOE al poder estos delincuentes iban a estar en la calle y les iba dar todo lo k no da al resto de España. Y sabeis a quien NO votar para las proximas elecciones. Gallegos y extremeños hasta los wevos del PSOE, por k reaparte a su gusto y no a los españoles.",3. Tóxico,no
805,"Lo de Podemos es todo folletín de dictachuelos como el Koletas y traidores como el Errejon aliñada con corruptelas de Espinar. Podemos, tic tac ....... tic tac",2. Ligeramente tóxico,no
1556,Pipí,1. No tóxico,no
839,#120jajajaja MENTIROSO COSLADA CALLE MÉJICO http://coslada.callejero.net/calle-de-mejico.html EN CORDOBA Y LAS DEMÁS QUE HAS PUESTO MENTIROSO,2. Ligeramente tóxico,no
1977,Bueno en la Galicia pepera ocurre lo mismo,2. Ligeramente tóxico,sí
1322,"No lo pueden extraditar . Ya una vez ganó en los tribunales su derecho a no ser extraditado, y ahora, aunque Suiza quiera, ocurrirá lo mismo . Se va a quedar, afortunadamente. Confío sin duda alguna en nuestros jueces, y no hay desde el punto de vista legal motivos para echarlo. Ha COLABORADO con el estado español ayudando a sacar a la luz solamente en España 300 millones de euros que recaudó hacienda. El delito que se le acusa en Suiza, no sería delito aquí. Si aquí un banquero entrega una lista de personas con dinero oculto al estado, no sería delito. Y de hecho, Suiza modificó después del caso falquiani sus leyes, y ahora cuando un extranjero abre una cuenta en Suiza se informa a la hacienda de su país de origen. Por tanto lo que hizo falquiani ya no sería ni delito. Otra cosa es que los poderosos le tengan ganas a falquiani y aún en Suiza le persigan, pero confío en nuestros jueces, no entregarán a una persona con ética y que hizo lo correcto, dar los defraudadores a conocer.",1. No tóxico,sí
2914,"Y aquel quien calla ante el Honor, delinque, Sumar, Direcciones Generales, Subdirecciones Generales, Secretarías Generales Técnicas, Sub Secretarias Generales Técnicas, Ministros, Presidentes, Secretarios y vice Secretarios, porque el Dinero es la Manecilla que da cuerda al pájaro que mueve el Mundo.",2. Ligeramente tóxico,no
188,"#91Podemos y PSOE están sin votos para las siguientes elecciones, no se haga ilusiones. Aunque pongan al mismísimo Hugo Chavez no van a sacar ni para pipas.",2. Ligeramente tóxico,no
246,Le digo más. ¿Y a mi que c..ñ.. me importa lo que critique usted a ese señor? Ni le he votado ni me gobierna. En cambio me preocupa bastante más el comportamiento de los que si gobiernan(por decir algo) ya que sufriré las consecuencias.,3. Tóxico,no
2896,@KurtGodel #467 NO EXISTE NINGUNA INVASIÓN MIGRATORIA.,2. Ligeramente tóxico,no
1832,@ATM_1965 #252 Tú pm,3. Tóxico,no
2289,"@RM777 #325 No, cada uno que se sienta lo que le de la gana. Total todos tenemos DNIs, lo tiene ya hasta ""Vinisius"". XD",3. Tóxico,no
2009,JAJAAJAJAAJAJAJAJAJAJAJAJAJAAJAJAJAAAJAJAJ   Me parto¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡   Y te crees lo que escribes?????,2. Ligeramente tóxico,no
1706,"otros la llamarían ""nazi""",2. Ligeramente tóxico,no
1702,¿Las elecciones no las había ganado el candidato Casadete del Partido Populista?,3. Tóxico,no
1288,"#54Símbolos declarados ilegales por motivos obvios, aquí en España tenemos una asociación ensalzando la figura equivalente a Hitler totalmente legal y hasta hace poco subvencionada con dinero público. Que yo sepa una camiseta amarilla no es ilegal, al menos de momento.",2. Ligeramente tóxico,sí
102,"#623Y la irresponsabilidad del psoe, dando llave de gobierno a los nacionalistas, menos. En vez de negociar mejoras sociales a escala nacional, deja que se pierda dinero en esos chantajistas locales.",2. Ligeramente tóxico,sí
1023,"Ya en el titular hay dos mentiras. La 3ª quizás sea cierta y no dimita, pero la pueden ""dimitir"" otros.",1. No tóxico,no
416,"#61Ay como aburres, con una orden de alejamiento y que a menos de 1km le de una descarga al agresor. yo no voy a agredir a nadie, ni reflexionar sobre algo que tiene tanta lógica y ayudaría a que no hubiese mas asesinatos. normal que te llames ""yoquese"", hay que dárltelo todo masticadito... si la descarga lo mata ya harán un articulo en este periódico, donde podrás comentar y dar tu opinion.",2. Ligeramente tóxico,no
1005,#191universidad pública...,1. No tóxico,no
2462,Éste tío se piensa que somos todos socialistas.,2. Ligeramente tóxico,no
1502,"Lo que pasa es que sobran los que no quieren estar en España, puerta, y a quien le pique que se rasque",2. Ligeramente tóxico,no
2708,Papa Estado siempre gana,2. Ligeramente tóxico,no
2706,"Como siempre los fachis dando la nota, el mandapelotas es el tipico fascista de libro, un perdedor amargado, su inteligencia es comparable a la de una ameba, te dire que los de bilbao somo seuropeos, te gusta mas eso?, anda fachin",3. Tóxico,no
557,"Este tipo, que siempre va dando lecciones al mundo con su apariencia de buenecito, es uno de los mayores inversores en empresas de inteligencia artificial y de  otros muchos negocios 'grises'.",2. Ligeramente tóxico,sí
544,"Falciani ha colaborado con el estado español en descubrir corrupción y blanqueamiento de capitales ... y ahí es donde le duele a Suiza , pais hucha de los capitales de origen incierto e ilegales ... incluido las cuentas B de PP . Legalidad 1 - Suiza y corrupción 0",2. Ligeramente tóxico,no
2835,De dónde han sacado la pasta para pagar 600 buses?Torra lo sabe.,2. Ligeramente tóxico,no
506,"@11122 #7 Lo que está claro es que tú ni eres, ni vives en Galicia. De lo contrario jamás dirías que el castellano está a punto de desaparecer aquí. Dejad de molestar anda...",2. Ligeramente tóxico,sí
2650,Jajajaja fortuito dice el caradura,2. Ligeramente tóxico,no
291,"@Abueloladilla #11 Lee la entrevista al presidente del colegio de médicos de hoy en este diario. Dice que el tema de Madrid es un tema político entre PP y PSOE. A partir de ahí, lo demás no vale",1. No tóxico,sí
1442,"Si los suizos quieren negociar, les propongo un 3x1: Rovira, Gabriel y el dineral robado por los Pujol por el Falciani. ¿Hay trato?",1. No tóxico,no
2866,"Voxonianos y Peperos: teneis una empanada mental que no hay cristo que os entienda. La Constitución se fundamenta en la indisoluble unidad de la Nación española, patria común e indivisible de todos los españoles, y reconoce y garantiza el derecho a la autonomía de las nacionalidades y regiones que la integran. El independentismo solicita un referendum sobre la independencia, contrario a la constitución. Vosotros solicitais la supresión de las autonomías que parte de la declaración del artículo 2, el mismo que recoge la indisoluble unidad de la Nación, por lo tanto, contrario al ordenamiento jurídico. Las dos propuestas necesitan la modificación de la consititución. Según el Tribunal Constitucional (SSTC 48/2003, FJ 7 y 103/2008, FJ 2), la Constitución Española puede ser modificada sin ningún límite, esto es, sin que existan clausulas de intangibilidad explícitas o implícitas, siempre y cuando se respete el procedimiento legal establecido.",3. Tóxico,sí
194,#513No. El bbva tiene su sede en Madrid. Apuesto que tampoco sabes por qué...,1. No tóxico,no
650,"Señalar sólo una puntualización a la que no se ha referido Manuel Jabois en su artículo: además del ""chiste"" que ha provocado la destitución de esta señora comisaria de la Policía Nacional (y que no ha supuesto ninguna consecuencia para todos aquellos que, satisfechos, le rieron la gracia), en el mismo banquete de homenaje a un compañero (pagado con nuestros impuestos, que nadie se olvide) la susodicha también se refirió a su destino anterior en la Comisaría de Pozuelo de Alarcón mostrando su satisfacción al referirse a esta ciudad madrileña como ""Plaza Nacional"" y no ""Republicana"".",1. No tóxico,sí
1228,"FALCIANI LIBERTAD, YA!!!",1. No tóxico,no
1964,JAJAAJAJAJAJAJAAJJAJAJAAJAJAJ  Y en 2018??????????????????  JAJAJAJAJAJAJAJAJAJAAJAJJAAJAJAJAJ,2. Ligeramente tóxico,no
486,La llamaban eso por la cantidad de asesinados por los rojos que tuvo.,1. No tóxico,sí
2689,Dios los cría y ellos se juntan.,1. No tóxico,no
52,"#14Las ""feministas"" (como usted dice) no hacemos estadísticas por nacionalidad. Son algunos de ustedes los que sí las hacen, y a mí me parece un ejercicio muy sospechoso...",1. No tóxico,no
144,Aqui no hay dimisión inmediata ¡¡¡¡¡¡¡¡. Aqui no hay culpables ¡¡¡¡¡¡ Aqui hay la ley del silencio¡¡¡¡¡¡. Pero no les servirá de nada a estos de extrema izquierda. CARADURAS,3. Tóxico,no
2506,"Diario Expansion 9/07/2019.-"" Gracias al crecimiento económico, el pueblo español en 1975 tenía niveles de vida y fe en el futuro como nunca tuvo en tiempos de la República. Por eso resultó relativamente fácil la Transición. También a veces los economistas aciertan, y merecen un reconocimiento.""",1. No tóxico,sí
2757,"Otra buena película de este año: ""El sastre de la mafia"".",1. No tóxico,no
2337,"Es que como ya demostró hace mucho Tamara-Ámbar-Yurena, una cosa es vender discos y otra que no se rían de ti.",1. No tóxico,sí
449,"#146patriota es Bibiana Aído, con menos currículum que Tarzan, y ahí la tienes, enchufada por ZP en la ONU ganando 10.000 dólares al mes, payaso.",3. Tóxico,no
322,"el cambio prometido, Falciani por Marta, ya no existe,",1. No tóxico,no
1814,@gh10443 #713 Sólo tiro ketchup,1. No tóxico,no
2123,Comunista Dior y Cartier. Pero pagando los contribuyentes.,3. Tóxico,no
554,"#106Yo pensé exactamente lo mismo.Ni una opinión ni remotamente discrepante.Adoctrinamiento puro.Y así en casi todos los medios de comunicación y en la enseñanza,al menos en la pública.Una labor de ingeniería social propia de un régimen totalitario.Las nuevas generaciones repitiendo como robots los tópicos y falsedades del feminismo actual.Por eso me siento bastante pesimista sobre el futuro que nos espera.Qué tristeza!",2. Ligeramente tóxico,no
785,"#78Lamento muchísimo su situación. Soy mujer y me avergüenzan casos como el suyo. Comprendo que haya pensado en suicidarse, si me pasase a mí, también lo habría pensado. Cuando te despojan de todo, de todo lo material, de lo que más quieres, de tu dignidad y, además, sólo te queda el silencio administrativo, verdaderamente te lo roban todo. Ojalá ningún hombre se suicide por este asco de ley anticonstitucional. Y ojalá hubiera más dinero para poder asociarse, hacer más ruido, hacerse oír. Yo os apoyo a todos y podéis contar conmigo para defender lo justo.",2. Ligeramente tóxico,sí
174,#172Ah! Es coña.,1. No tóxico,no
2822,"Ah, ¿El milagro de IFEMA se debe a la sra Ayuso? No me diga...",2. Ligeramente tóxico,no
1195,"#297Solución, vete. Adiós.",2. Ligeramente tóxico,no
0,"Escándaloooo, es un escándalooo... Aunque lamentablement ya estamos acostumbrados.",2. Ligeramente tóxico,no
2316,"Es lógico que Podemos haya votado en contra de la propuesta del Gobierno del que forma parte. La lealtad de Podemos está con Rusia no con el Gobierno de España. En este está para cobrar el sueldo, tener coche , chófer, gusrdaespaldas, vigilantes de su casa, piso de 450 m2, etc, pero no para ser leal.",2. Ligeramente tóxico,sí
2964,"Cuanta ignorancia, Dios mío...",1. No tóxico,no
2286,"Parece más, que ""lo han matao""",3. Tóxico,no
1476,"Sobre este tema, nadie sabe nada, son adivinainvenciones semejantes a la de Darwin, a la de los OVNIS, del Yeti del Himalaya..",1. No tóxico,sí
1084,"Y el golfo millonario de Ferreras con sus amigos de mongolia, para donde esta mirando en este apagón informativo de podemos. Este hombre es un indeseable, que con su cadena Secta, a la que teníamos que boicotear todo le mundo, y que solo lo vean los vagos podemitas, que no han dado un golpe al agua. Me enrojece ser Leones y Berciano, de tener a este elemento diciendo que el también lo es. Una autentica vergüenza para cualquier leones de bien. El Ferreas esta esperando que pase el fin de semana, y que escampe para podemos, un autentico sin vergüenza",3. Tóxico,no
2875,Algunos votantes de derechas no necesitan que se resucite a Franco. Lo siguen teniendo presente.,1. No tóxico,no
2862,"Sánchez avisa que aumentará ya en el 2023 eñ presupuesto para defensa. Estoy segurísimo que esa cantidad será mínima para el 2023 y le dejará el muerto al que venga detrás, probablemente el PP. Ya se ha publicado que eses gasto llegará hasta el 2028 o 2030.",2. Ligeramente tóxico,sí
257,"Un troll ruso no puede manipular la imagen de un principe Saudí en un besamanos por las repúblicas y monarquías europeas, ni la alianza se EEUU y la Unión Europea con regímenes donde la mujer es menos que un mueble para sus leyes, y sin embargo los gobiernos occidentales se funden con ellos en abrazos que van más allá del decoro. No es tanto un problema de información como de valoración de la misma. No echen por tanto la culpa a troles rusos. Intoxica Occidente.",2. Ligeramente tóxico,sí
2428,"Aguado= Rojo, social comunista. 😆🤣🤣",3. Tóxico,no
2436,El virus es el gobierno.,3. Tóxico,no
1402,"@umbral2 #1 Pues mira la bandera española, fue puesta por primera vez en 1843 como enseña de España y la ikurriña se creó en 1894, así que tampoco hay mucha diferencia. Y el término España, como ya sabrás proviene de los romanos y fenicios y se traduce como "" tierra de conejos "" un apelativo muy acorde , desde luego.",2. Ligeramente tóxico,sí
1270,Si. Rodea el Congreso (25.09.2012)... ¿te acuerdas?,1. No tóxico,no
32,"El tipo cualificado agravado del delito de odio establece que cuando los hechos, a la vista de sus circunstancias, resulten idóneos para alterar la paz pública o crear un grave sentimiento de inseguridad o temor entre los integrantes del grupo, se impondrá la pena en su mitad superior, que podrá elevarse hasta la superior en grado. En cuanto a las disposiciones comunes en el apartado 5 dice que en todos los casos, se impondrá además la pena de inhabilitación especial para profesión u oficio educativos, en el ámbito docente, deportivo y de tiempo libre, por un tiempo superior entre tres y diez años al de la duración de la pena de privación de libertad impuesta en su caso en la sentencia, atendiendo proporcionalmente a la gravedad del delito, el número de los cometidos y a las circunstancias que concurran en el delincuente. Se debe valora también el delito de lesiones sufrido por uno de los agentes .",1. No tóxico,sí
1795,"@Sagasta #39 jajaja, muy buena la ironía",2. Ligeramente tóxico,no
2458,Supresión de la Audiencia Nacional ¡¡¡Yaaaaaaa!.....Es un nido de corruPPción.,3. Tóxico,no
14,Por la boca muere el pez..,1. No tóxico,no
93,"¿Y que misterio tiene ir a 220?, en la Autobahn Alemana circular a 220 es de pobres, ya que hay vehículos que te dan ráfagas y te adelantan a 280 y a estos a su vez les adelantan otros a 340 y así sucesivamente ¿y? que tiene de misterioso circular a esas velocidades, pues nada, solamente se necesita un vehículo que lo permita y una carretera en condiciones. En españa hay ciertas autopistas que sería posible circular de igual forma, pero la DGT se lucra de estos excesos porque le es muy rentable. Por otro lado al que le han cazado, es un vacilón ya que hoy en día cualquier coche con 125 CV alcanza los 220 Km/h, pero no son tan tontos de subirlo a la red.",3. Tóxico,sí
2903,Muy bien capitán a posteriori ahora tómese la pastillita y a dormir que mañana le toca ver a su líder fra_casado,3. Tóxico,no
321,"fuentes, el cuñao por wasap ;-)",2. Ligeramente tóxico,no
149,"#76Catalanes y madrileños los que más, tampoco te hagas pajas mentales...",2. Ligeramente tóxico,no
2273,Debe ser por eso por lo que acabó abrasado.,3. Tóxico,no
879,me he expresado mal. no entendí bien la noticia. quiero decir que si voy enfermo al medico y no me atienden es castellano me piro. bravo por esta doctora,2. Ligeramente tóxico,no
2266,"""Santos Cerdán, ha contestado a las críticas de Felipe González y Alfonso Guerra de ayer tachando a ambos de ""desleales"".."" González y Guerra serán desleales con el PSOE, pero vosotros sois desleales con España.",3. Tóxico,sí
2148,El presidente chino llama al indio...pero la secuencia de 9 proteínas iguales que el virus está ahí de todos modos,3. Tóxico,no
1813,@benze_lewissss #197 igual debes tú más que el.,3. Tóxico,no
2931,"Suerte, Mykelon, mucha suerte. Si acaso, por algún casual, algo saliera mal, pongamos, imaginemos, que algo pudiera salir mal en su apuesta, recuerde que la ilusión y la esperanza es mejor no depositarla en partidos políticos, así, en general, pero en partidos que señalan como enemigos a sectores de la población civil, en especial. Ya sean los extranjeros pobres, las femi nazis o las bestias con forma humana.",3. Tóxico,sí
1221,"#124- Vamos, quiere vd que se meta en la carcel a unos tios por un empujoncillo y una bomba fetida, y luego que soltemos a unos cafres capaces de patearle la cara a una persona indefensa en el suelo. Y luego nos habla de proporcionalidad? Eso es coherencia. Ahi tienen vds la capacidad intelectual del rojerio.",2. Ligeramente tóxico,no
1752,@estelita04 #167 para muestra un botón,1. No tóxico,no
2899,"Para ser Catalán sólo tienes que sentirla, no hace falta nacer allí ni vivir allá, es como el Barça, o te gusta o no te gusta y punto pelota, un abrazo a todos desde Castro Urdiales.",1. No tóxico,sí
450,Y España seguirá recibiendo tiritas de África.,3. Tóxico,no
2045,El peluquín de Ximo le impide que fluyan ideas de su pobre intelecto.,3. Tóxico,no
1869,"@habbania #31 en el franquismo había mucha corrupción al nivel de afectar a los cercanos a Paquito, decir que el PSOE trajo la corrupción es como decir que el capitalismo trajo el mercado.",2. Ligeramente tóxico,sí
1135,"Y no sólo alimentoss. Si algún nedicamento tiene un componente animal tiene que ser consecuente. Sea lo que sea, por favor, que no nos aburra con sus ""desgracias"", que de eso a todos nos sobra.",2. Ligeramente tóxico,sí
528,"Mientras tanto un centenar de paletos descerebrados, haciendo el indio en la Plaza de España, dando vueltas como si de una hoguera se tratara.",3. Tóxico,no
798,@Elpasillito #427 y tú de dónde saliste ???,3. Tóxico,no
370,"#86vaya, no somos África del Norte, ¿¿¿pero tiene usted algún problema si lo fuéramos??? algún sentimiento supremacista tipo nazi??? ah, ya, me lo suponía.",2. Ligeramente tóxico,no
642,"#95te parece mal y te comprendo,pero intentais hacer rey a un prófugo como puigdemont,con una democracia que designa a jueces a dedo y donde el ""presi"" es intocable ante sus justicia,te lo digo por el vistazo a la ley de la república catalana",2. Ligeramente tóxico,no
478,Y una m. Q no se apueben los peesupuestos. Repetimos y punto.,2. Ligeramente tóxico,no
572,"El Problema de los de siempre es que Obama no digo de UE porque nunca se confió en ellos,apuñalando por la espalda a Riad y Jerusalem con el pacto Nuclear con Irán realizó el Gran milagro que por aquello de que el enemigo de mi enemigo es mi amigo hicieron olvidar algunas diferencias entre el mundo árabe sunnita e Israel y ahora con el apoyo incondicional de Trump ,el panorama cambio mucho hoy hay una potencia nueva en Oriente Medio ,económica tecnológica energética y nuclear que hay que respetar mucho , y hace que se pongan las pilas unos cuantos que se creyeron invencibles .",1. No tóxico,sí
1041,"Pedro I, el traidor, el mentiroso, el sepulturero, el embustero, el falso, el desleal, el desvergonzado, el sectario... ¡España, espabila!",3. Tóxico,no
1587,"Eso que usted denomina ""comunismo stalinista"" liberó a Europa de la bestia nazi, no lo olvide. Y no olvide que la ""gran democracia americana"" no tuvo reparo alguno en consolidar el tiránico régimen de Francisco Franco en España.",1. No tóxico,sí
